candidate_id,rank,score,reasoning
CAND_0071974,1,0.9608,"Senior AI Engineer | 7.8 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0018499,2,0.9549,"Senior Machine Learning Engineer | 7.2 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0002025,3,0.9522,"Senior AI Engineer | 5.9 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Ranking, and Embeddings"
CAND_0039754,4,0.9492,"Senior Applied Scientist | 16.2 yrs exp | Match: 100 | Medium Risk | Very High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0046064,5,0.946,"Senior NLP Engineer | 8.9 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0081846,6,0.9434,"Lead AI Engineer | 6.7 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0077337,7,0.942,"Staff Machine Learning Engineer | 7.0 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0079387,8,0.9391,"AI Engineer | 6.9 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0011687,9,0.9355,"Senior NLP Engineer | 7.8 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0098846,10,0.9349,"AI Engineer | 7.6 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0093912,11,0.9348,"Senior Data Scientist | 5.3 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0078002,12,0.9342,"Machine Learning Engineer | 6.3 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Ranking, Embeddings, and Weaviate"
CAND_0055992,13,0.9295,"AI Engineer | 16.9 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0052328,14,0.9289,"Recommendation Systems Engineer | 6.5 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Python, Embeddings, and Pinecone"
CAND_0088025,15,0.9279,"Staff Machine Learning Engineer | 8.6 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0046525,16,0.9272,"Senior Machine Learning Engineer | 6.1 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0052682,17,0.9265,"NLP Engineer | 6.6 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Python, Ranking, and Embeddings"
CAND_0081852,18,0.9256,"Senior Data Scientist | 5.9 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Embeddings, Pinecone, and Weaviate"
CAND_0023215,19,0.9251,"Junior ML Engineer | 4.4 yrs exp | Match: 100 | Low Risk | Very High Potential | Expertise in Retrieval, Ranking, and Llm"
CAND_0099806,20,0.9249,"AI Engineer | 4.6 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Weaviate"
CAND_0005538,21,0.9239,"Senior AI Engineer | 5.9 yrs exp | Match: 97.9 | Medium Risk | High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0041669,22,0.9239,"Recommendation Systems Engineer | 8.0 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0006418,23,0.9217,"Machine Learning Engineer | 5.7 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Weaviate"
CAND_0007009,24,0.9208,"Recommendation Systems Engineer | 7.9 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Python, Retrieval, and Embeddings"
CAND_0061265,25,0.9205,"Recommendation Systems Engineer | 6.6 yrs exp | Match: 100 | Medium Risk | Very High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0047521,26,0.9195,"Junior ML Engineer | 4.4 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0075249,27,0.9195,"Applied ML Engineer | 6.2 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0053527,28,0.9193,"Junior ML Engineer | 7.0 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Ranking, Pinecone, and Qdrant"
CAND_0052335,29,0.9192,"Applied ML Engineer | 6.4 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0077285,30,0.9192,"Recommendation Systems Engineer | 5.5 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0074735,31,0.9187,"Applied ML Engineer | 5.5 yrs exp | Match: 100 | Medium Risk | Medium Potential | Expertise in Retrieval, Embeddings, and Pinecone"
CAND_0011162,32,0.9186,"Recommendation Systems Engineer | 5.8 yrs exp | Match: 100 | Medium Risk | Medium Potential | Expertise in Python, Ranking, and Embeddings"
CAND_0054394,33,0.9186,"Recommendation Systems Engineer | 4.1 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0066999,34,0.9186,"Recommendation Systems Engineer | 5.9 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0066035,35,0.9185,"Data Scientist | 6.7 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Weaviate"
CAND_0086022,36,0.9179,"Senior Applied Scientist | 5.3 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0053591,37,0.9174,"AI Engineer | 5.3 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0008239,38,0.9173,"AI Engineer | 4.0 yrs exp | Match: 100 | Low Risk | Low Potential | Expertise in Python, Ranking, and Weaviate"
CAND_0010541,39,0.9173,"AI Research Engineer | 6.2 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Python, Ranking, and Pinecone"
CAND_0030827,40,0.9171,"Senior Data Scientist | 5.4 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Retrieval, Ranking, and Qdrant"
CAND_0011432,41,0.9167,"Senior Data Scientist | 7.6 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0025640,42,0.9166,"AI Research Engineer | 5.6 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Elasticsearch"
CAND_0050454,43,0.9161,"AI Engineer | 6.8 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Qdrant"
CAND_0027691,44,0.916,"NLP Engineer | 6.5 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0037566,45,0.916,"Machine Learning Engineer | 6.9 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Embeddings, Pinecone, and Elasticsearch"
CAND_0069248,46,0.9154,"AI Research Engineer | 5.4 yrs exp | Match: 100 | Medium Risk | Low Potential | Expertise in Ranking, Faiss, and Fine-Tuning"
CAND_0073504,47,0.9153,"Junior ML Engineer | 6.6 yrs exp | Match: 88.6 | Low Risk | Hidden Gem | Expertise in Ranking, Elasticsearch, and Xgboost"
CAND_0046132,48,0.9152,"AI Research Engineer | 4.3 yrs exp | Match: 93.3 | Low Risk | High Potential | Expertise in Retrieval, Ranking, and Llm"
CAND_0091890,49,0.9149,"AI Research Engineer | 4.7 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Pinecone, and Weaviate"
CAND_0037160,50,0.9144,"Data Scientist | 6.0 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Ranking, Embeddings, and Weaviate"
CAND_0072660,51,0.9144,"Machine Learning Engineer | 7.1 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0084819,52,0.9143,"Search Engineer | 4.5 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0043304,53,0.9136,"Junior ML Engineer | 6.5 yrs exp | Match: 96.5 | Medium Risk | Medium Potential | Expertise in Ranking, Qdrant, and Xgboost"
CAND_0096142,54,0.9134,"Applied ML Engineer | 5.0 yrs exp | Match: 100 | Medium Risk | Low Potential | Expertise in Python, Ranking, and Embeddings"
CAND_0040117,55,0.913,"Recommendation Systems Engineer | 6.5 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0000273,56,0.9129,"ML Engineer | 5.8 yrs exp | Match: 94.8 | Low Risk | High Potential | Expertise in Ranking, Qdrant, and Llm"
CAND_0002120,57,0.9126,"ML Engineer | 6.5 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0086151,58,0.9126,"Recommendation Systems Engineer | 7.7 yrs exp | Match: 100 | Medium Risk | Medium Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0015578,59,0.9123,"AI Engineer | 5.4 yrs exp | Match: 100 | Medium Risk | Low Potential | Expertise in Embeddings, Pinecone, and Faiss"
CAND_0068811,60,0.9123,"Applied ML Engineer | 8.0 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0073007,61,0.9123,"AI Specialist | 5.8 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Milvus"
CAND_0032089,62,0.9122,"ML Engineer | 6.6 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Python, Ranking, and Pinecone"
CAND_0028793,63,0.912,"Search Engineer | 7.2 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0098952,64,0.912,"AI Research Engineer | 5.5 yrs exp | Match: 84.5 | Low Risk | Hidden Gem | Expertise in Python, Ranking, and Opensearch"
CAND_0050876,65,0.9119,"Applied ML Engineer | 6.0 yrs exp | Match: 100 | Medium Risk | Medium Potential | Expertise in Python, Ranking, and Embeddings"
CAND_0053695,66,0.9113,"Recommendation Systems Engineer | 5.8 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0073883,67,0.9113,"AI Specialist | 5.3 yrs exp | Match: 94.3 | Medium Risk | Medium Potential | Expertise in Python, Ranking, and Opensearch"
CAND_0029367,68,0.9112,"Senior Data Scientist | 5.7 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Retrieval, Embeddings, and Pinecone"
CAND_0075574,69,0.911,"Machine Learning Engineer | 5.7 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0099675,70,0.9108,"Junior ML Engineer | 3.9 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Ranking, Pinecone, and Weaviate"
CAND_0061257,71,0.9106,"Staff Machine Learning Engineer | 8.0 yrs exp | Match: 95.0 | Low Risk | High Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0026362,72,0.9102,"Data Scientist | 5.0 yrs exp | Match: 100.0 | Low Risk | High Potential | Expertise in Ranking, Pinecone, and Weaviate"
CAND_0048558,73,0.9091,"Data Scientist | 6.7 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Qdrant"
CAND_0044262,74,0.909,"Data Scientist | 6.9 yrs exp | Match: 100 | Medium Risk | Low Potential | Expertise in Python, Ranking, and Weaviate"
CAND_0093193,75,0.9089,"Senior Machine Learning Engineer | 7.9 yrs exp | Match: 79.9 | Low Risk | Hidden Gem | Expertise in Retrieval, Ranking, and Qdrant"
CAND_0010257,76,0.9086,"Senior Data Scientist | 6.5 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Python, Ranking, and Embeddings"
CAND_0039383,77,0.9086,"Applied ML Engineer | 7.1 yrs exp | Match: 100 | Medium Risk | Medium Potential | Expertise in Retrieval, Ranking, and Elasticsearch"
CAND_0095619,78,0.9075,"NLP Engineer | 15.6 yrs exp | Match: 91.0 | Medium Risk | Low Potential | Expertise in Retrieval, Ranking, and Pinecone"
CAND_0065786,79,0.9073,"AI Specialist | 4.9 yrs exp | Match: 94.9 | Low Risk | Medium Potential | Expertise in Ranking, Pinecone, and Qdrant"
CAND_0064326,80,0.9068,"Search Engineer | 7.6 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Python, Ranking, and Embeddings"
CAND_0078262,81,0.906,"ML Engineer | 4.9 yrs exp | Match: 99.9 | Low Risk | Medium Potential | Expertise in Ranking, Embeddings, and Faiss"
CAND_0016163,82,0.9058,"Applied ML Engineer | 6.7 yrs exp | Match: 100 | Medium Risk | Medium Potential | Expertise in Retrieval, Embeddings, and Pinecone"
CAND_0014440,83,0.9054,"Recommendation Systems Engineer | 6.4 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Qdrant, and Milvus"
CAND_0036184,84,0.9054,"Recommendation Systems Engineer | 6.0 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Embeddings, and Pinecone"
CAND_0002426,85,0.9052,"Data Scientist | 3.3 yrs exp | Match: 100 | Low Risk | Low Potential | Expertise in Ranking, Pinecone, and Qdrant"
CAND_0037944,86,0.9044,"Senior Data Scientist | 4.9 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Python, Ranking, and Embeddings"
CAND_0080766,87,0.9043,"Staff Machine Learning Engineer | 8.8 yrs exp | Match: 100 | Medium Risk | Medium Potential | Expertise in Python, Retrieval, and Ranking"
CAND_0043860,88,0.9042,"Junior ML Engineer | 6.1 yrs exp | Match: 96.1 | Low Risk | High Potential | Expertise in Retrieval, Ranking, and Qdrant"
CAND_0036863,89,0.9041,"Senior Data Scientist | 4.3 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Ranking, Embeddings, and Pinecone"
CAND_0005649,90,0.9039,"Senior Data Scientist | 7.4 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0058688,91,0.9038,"AI Engineer | 6.7 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0006567,92,0.9037,Senior AI Engineer | 7.9 yrs exp | Match: 84.9 | Low Risk | Hidden Gem | Expertise in Python and Ranking
CAND_0079064,93,0.9037,"Senior Data Scientist | 5.2 yrs exp | Match: 100 | Medium Risk | Specialist Archetype | Expertise in Retrieval, Embeddings, and Pinecone"
CAND_0097176,94,0.9035,"ML Engineer | 5.9 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Ranking, Faiss, and Fine-Tuning"
CAND_0013613,95,0.9034,"Machine Learning Engineer | 4.7 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Retrieval, Ranking, and Embeddings"
CAND_0017960,96,0.9024,"Recommendation Systems Engineer | 7.7 yrs exp | Match: 100 | Low Risk | Specialist Archetype | Expertise in Python, Retrieval, and Ranking"
CAND_0078492,97,0.9023,"Recommendation Systems Engineer | 5.1 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Ranking, Qdrant, and Elasticsearch"
CAND_0093883,98,0.9018,"AI Research Engineer | 5.0 yrs exp | Match: 100 | Low Risk | High Potential | Expertise in Ranking, Embeddings, and Qdrant"
CAND_0010685,99,0.9015,"NLP Engineer | 6.7 yrs exp | Match: 100 | Low Risk | Medium Potential | Expertise in Retrieval, Ranking, and Elasticsearch"
CAND_0076904,100,0.9014,"Senior Data Scientist | 4.2 yrs exp | Match: 100 | Medium Risk | High Potential | Expertise in Retrieval, Ranking, and Weaviate"
